Country Name,Indicator Name,2016,2017,2018
IDA total,GDP per capita (current US$),1309.391769,1345.833462,1350.091506
IDA blend,GDP per capita (current US$),1787.140292,1733.460499,1783.299056
Indonesia,GDP per capita (current US$),3562.845756,3836.913814,3893.596078
IDA only,GDP per capita (current US$),1061.022241,1148.309578,1127.132559
India,GDP per capita (current US$),1729.268021,1981.499045,2015.590485
Ireland,GDP per capita (current US$),63197.08237,69649.88274,78806.432
Iraq,GDP per capita (current US$),4649.468115,5143.661232,5878.038566
Iceland,GDP per capita (current US$),61757.94931,71314.7742,73201.70255
Israel,GDP per capita (current US$),37371.62691,40543.58417,41613.99808
Italy,GDP per capita (current US$),30830.92266,32155.20587,34318.35112
Jamaica,GDP per capita (current US$),4842.045011,5060.544924,5355.582639
Jordan,GDP per capita (current US$),4109.574819,4168.641604,4247.768726
Japan,GDP per capita (current US$),38794.33094,38331.9794,39286.73765
Kazakhstan,GDP per capita (current US$),7714.841844,9030.318806,9331.04695
Kenya,GDP per capita (current US$),1410.527571,1568.201541,1710.510097
Kyrgyz Republic,GDP per capita (current US$),1120.666513,1242.769643,1281.363661
Cambodia,GDP per capita (current US$),1269.591257,1385.25998,1512.12671
Kiribati,GDP per capita (current US$),1584.807446,1625.57597,1625.2861
St. Kitts and Nevis,GDP per capita (current US$),18575.75173,19060.57072,19829.42832
"Korea, Rep.",GDP per capita (current US$),27608.24743,29742.83886,31362.75147
Kuwait,GDP per capita (current US$),27653.1644,29474.54143,34243.95291
Latin America & Caribbean (excluding high income),GDP per capita (current US$),8131.541009,8959.802025,8527.550215
Lao PDR,GDP per capita (current US$),2308.802616,2423.846203,2567.543217
Lebanon,GDP per capita (current US$),7634.946544,7838.343385,8269.787676
Liberia,GDP per capita (current US$),714.6233922,698.7017644,674.2094847
Libya,GDP per capita (current US$),4038.970683,5792.06511,7235.028115
St. Lucia,GDP per capita (current US$),9377.886858,10003.25987,10315.02608
Latin America & Caribbean,GDP per capita (current US$),8561.875358,9397.620709,9023.504823
Least developed countries: UN classification,GDP per capita (current US$),997.1653259,1093.811323,1043.055789
Low income,GDP per capita (current US$),737.9746148,767.8929041,812.7803431
Sri Lanka,GDP per capita (current US$),3886.291502,4104.630983,4102.48135
Lower middle income,GDP per capita (current US$),2049.093225,2187.498829,2218.899749
Low & middle income,GDP per capita (current US$),4378.227913,4743.185613,4967.882744
Lesotho,GDP per capita (current US$),1119.719758,1232.786919,1324.282768
